"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","simulation","true_n_species","expected_accuracy"
17.2059197168967,16.2908923356893,17.1189058599026,17.448265194497,11.9610569575543,"Species_A_19","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.8407971161505,13.8803742906362,15.8041270069387,14.332752428222,10.4902913507976,"Species_A_20","Species_A","SIM2_Moderate_Separation",3,"75-85%"
15.4004481489187,13.6677899277562,15.8670128551715,14.2264006969903,9.13061307405413,"Species_B_1","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.1534192992978,13.1014653300557,15.4148489559141,15.1664057646425,9.74601355022204,"Species_B_2","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.4188274964787,14.7730227606035,15.7779175006495,14.8802908971779,10.5793918259881,"Species_B_3","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.6219044630531,13.612855753022,15.9561500924293,15.7896274413121,10.5822427102441,"Species_B_4","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.5563743399237,13.770893662681,14.5034719319586,14.2549143397989,8.88147592576734,"Species_B_5","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.517986144805,14.0866816354844,14.7399618147414,14.2970986918222,9.95600715907783,"Species_B_6","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.725513314782,14.4016255483014,16.2977986497016,15.0420421249659,10.2386378127807,"Species_B_7","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.9932142764229,14.1293912997508,15.7688728363564,15.0780777192993,10.0334895229334,"Species_B_8","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.3251416660457,13.579493419399,14.398070028467,14.7706705070254,9.28227065060209,"Species_B_9","Species_B","SIM2_Moderate_Separation",3,"75-85%"
16.7104361453298,14.2777729611412,15.2763441469085,15.1191680382956,10.605499548497,"Species_B_10","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.7259336669545,12.6665804237342,16.1057892390875,13.6237624228662,9.92519384809046,"Species_B_11","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.6062515923378,13.3533834580672,16.3351340914619,15.3283570495481,9.30905273319975,"Species_B_12","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.1861815416604,13.7654808205213,14.7567867438282,13.7618660970334,10.5367907365933,"Species_B_13","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.2648222021493,13.7285933791031,16.0093230156058,14.778563135765,10.6277634290029,"Species_B_14","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.243242332244,11.9978436003192,14.7903251067357,14.1842928879489,9.4866459508836,"Species_B_15","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.3659111142109,13.3971077715133,15.4260318917439,14.7180527469346,9.47470388797882,"Species_B_16","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.5058588628475,13.6607733196749,15.2955162238127,14.8549386053771,9.54345617191501,"Species_B_17","Species_B","SIM2_Moderate_Separation",3,"75-85%"
14.2951637182791,13.2642678523432,15.5966387321553,14.2529739189717,9.51243536960305,"Species_B_18","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.7321007911948,13.3239028779863,15.2951155649882,14.57973555034,10.4587270517104,"Species_B_19","Species_B","SIM2_Moderate_Separation",3,"75-85%"
15.2753296876838,14.1355191021976,16.5170003202719,15.1585309598744,10.5410298148724,"Species_B_20","Species_B","SIM2_Moderate_Separation",3,"75-85%"
12.6861498215678,11.7825427557293,13.4954829635974,12.13895937567,8.02684206006469,"Species_C_1","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.2710629922596,12.516230219698,14.9172634093137,14.1537601617209,10.400829880678,"Species_C_2","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.8722350632181,12.3321680159964,14.6731849964379,12.6193815790347,10.3603238624449,"Species_C_3","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.348371100194,11.7687743106285,13.3430719397789,12.4583785334568,8.92842323250584,"Species_C_4","Species_C","SIM2_Moderate_Separation",3,"75-85%"
15.2941592652662,13.2859518317694,16.2513868213409,14.3616630149549,9.84902777181313,"Species_C_5","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.837430381036,12.7688475928045,16.4057667049687,14.9459096548161,10.431034005425,"Species_C_6","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.7805676445527,12.3460048180139,13.002907095722,13.0070345923652,8.928982932804,"Species_C_7","Species_C","SIM2_Moderate_Separation",3,"75-85%"
15.7607840980847,13.9671374655642,16.1157144796216,14.7258739158491,10.1684955098271,"Species_C_8","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.7067897698305,13.4770859992535,15.4270717963698,14.0527457426574,9.48115052741306,"Species_C_9","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.8268631899471,11.5882507330572,13.5513288471882,13.1096805549946,8.96464621133562,"Species_C_10","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.2437757285427,12.2269042045915,14.4864662537551,13.5404035991748,10.0511920709593,"Species_C_11","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.816245377221,12.3123612058854,14.0654834481507,13.8084051196268,9.57817103859806,"Species_C_12","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.2478642459758,13.0191202013649,16.4193522200571,14.4751507267229,8.80491592079445,"Species_C_13","Species_C","SIM2_Moderate_Separation",3,"75-85%"
12.4624101573712,11.3013855682995,12.7472100567595,12.2519613464158,8.65499556797886,"Species_C_14","Species_C","SIM2_Moderate_Separation",3,"75-85%"
12.3526864786562,11.4415728595458,12.7587683435314,12.9934548638556,9.22785521615984,"Species_C_15","Species_C","SIM2_Moderate_Separation",3,"75-85%"
13.6346724377602,12.572064458901,14.9510802197583,13.8326318384094,8.58988326186835,"Species_C_16","Species_C","SIM2_Moderate_Separation",3,"75-85%"
15.2224764443408,13.8538086419028,14.8724150233067,14.6368798797026,10.0985371458649,"Species_C_17","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.7965919592171,13.5974386513579,15.5419276293258,15.2745561918163,9.61895024367672,"Species_C_18","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.2529387443722,12.4249983136012,13.3697000085247,13.0076865117273,9.34244268858137,"Species_C_19","Species_C","SIM2_Moderate_Separation",3,"75-85%"
14.5569009425028,12.8204866244236,14.5611078439989,13.75352814892,9.21525077158814,"Species_C_20","Species_C","SIM2_Moderate_Separation",3,"75-85%"
