"M1_BL","M1_MD","M2_BL","M2_MD","P4_BL","specimen_id","taxon","cusp_pattern","hypocone_size","cingulum","region","latitude","true_species","simulation","true_n_species"
14.9147570863799,14.2445181180855,15.3178331012008,14.4971628894695,10.0295664923794,"Region_1_012","Region_1","Y5","small","weak","Region_1",0,"Widespread_Species","SIM5",1
15.0078501802112,14.3823017949215,15.9450952512084,15.7323028548063,11.1070183731764,"Region_1_013","Region_1","Plus5","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
16.2282077683905,14.2096838202016,17.0493935497722,15.7140821756769,10.4219062028645,"Region_1_014","Region_1","Y5","medium","absent","Region_1",0,"Widespread_Species","SIM5",1
15.1762308320724,13.349866348895,15.6203564443533,13.987817989874,10.1864264326243,"Region_1_015","Region_1","Y5","small","weak","Region_1",0,"Widespread_Species","SIM5",1
13.5420391576239,11.9191190665361,14.7092122630061,13.3724871969123,9.48817605639521,"Region_1_016","Region_1","Y4","large","absent","Region_1",0,"Widespread_Species","SIM5",1
15.9390780752089,14.5392036962146,17.1004669792687,15.8095574757313,11.6611341829611,"Region_1_017","Region_1","Y4","small","weak","Region_1",0,"Widespread_Species","SIM5",1
15.084152162123,14.7629429984988,16.3778336337399,16.009346284361,10.0299430258744,"Region_1_018","Region_1","Y5","large","weak","Region_1",0,"Widespread_Species","SIM5",1
15.6179438253001,14.6388823328551,17.1825528895607,16.1914480144811,9.87429373317966,"Region_1_019","Region_1","Y5","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
14.5874943055973,12.7499475822452,16.0345855947336,14.610196700987,10.1889995922885,"Region_1_020","Region_1","Y4","medium","weak","Region_1",0,"Widespread_Species","SIM5",1
15.7934329200014,13.6986534086143,15.1289685158521,14.6354237540718,9.42188738285073,"Region_2_001","Region_2","Y5","large","weak","Region_2",15,"Widespread_Species","SIM5",1
14.9157810281033,14.1416969339923,16.1735009225475,14.7357580534791,10.5796664083307,"Region_2_002","Region_2","Y5","small","absent","Region_2",15,"Widespread_Species","SIM5",1
16.0542962832812,14.8954943062009,16.9417178643829,14.9115991225014,9.95496341840844,"Region_2_003","Region_2","Y5","large","absent","Region_2",15,"Widespread_Species","SIM5",1
14.0786553151018,13.0717435478085,15.4972011283579,15.3446379927215,9.59227737383572,"Region_2_004","Region_2","Y4","medium","weak","Region_2",15,"Widespread_Species","SIM5",1
16.6691030878691,15.167193131785,16.9805164241352,16.5340135356752,11.4613255864525,"Region_2_005","Region_2","Y4","small","strong","Region_2",15,"Widespread_Species","SIM5",1
15.5283087797788,14.0234900146548,15.7284667888153,15.4276243467263,10.7964400498041,"Region_2_006","Region_2","Y5","large","absent","Region_2",15,"Widespread_Species","SIM5",1
14.8483078546638,13.8337152129816,15.9804733633896,15.550499520333,10.1865668725449,"Region_2_007","Region_2","Y5","small","weak","Region_2",15,"Widespread_Species","SIM5",1
15.3489374538857,14.7680770768607,16.589795211281,15.182674387173,10.1719032678236,"Region_2_008","Region_2","Y4","medium","weak","Region_2",15,"Widespread_Species","SIM5",1
15.2367582850832,14.5674048965696,16.9522001320777,15.3931586765859,10.1358433594877,"Region_2_009","Region_2","Y4","large","absent","Region_2",15,"Widespread_Species","SIM5",1
16.2101478250578,14.765298455803,17.1475821672904,15.8667478087087,10.5114279835584,"Region_2_010","Region_2","Y5","large","absent","Region_2",15,"Widespread_Species","SIM5",1
14.8983720667069,14.0302626557961,16.5650500941099,15.740619508659,10.1378338888717,"Region_2_011","Region_2","Y4","small","strong","Region_2",15,"Widespread_Species","SIM5",1
14.7487066175632,13.395977751658,17.3499097233928,15.5717454851499,10.2638151980686,"Region_2_012","Region_2","Y4","medium","weak","Region_2",15,"Widespread_Species","SIM5",1
14.34782660807,13.357705893312,15.4568492752399,14.2571696279085,9.03120294215402,"Region_2_013","Region_2","Y5","small","strong","Region_2",15,"Widespread_Species","SIM5",1
15.7086683379596,14.0057171286294,16.1235502448637,14.6893819996034,10.2710751335549,"Region_2_014","Region_2","Y5","small","absent","Region_2",15,"Widespread_Species","SIM5",1
13.4382212690896,12.6420308404099,15.4900470228849,14.3305194375635,9.6948012948543,"Region_2_015","Region_2","Y5","medium","weak","Region_2",15,"Widespread_Species","SIM5",1
15.7045720881564,14.2716401150541,16.9686430152562,15.3388370900075,10.0803989019464,"Region_2_016","Region_2","Y5","large","absent","Region_2",15,"Widespread_Species","SIM5",1
15.8279437747945,15.504267680924,17.2329557958844,16.1053434187861,11.1297405394559,"Region_2_017","Region_2","Plus5","medium","absent","Region_2",15,"Widespread_Species","SIM5",1
16.2414486076989,14.7588358382798,16.8511762164529,16.5533026399824,10.5595825944806,"Region_2_018","Region_2","Y4","small","absent","Region_2",15,"Widespread_Species","SIM5",1
14.4284854981509,14.2812797468488,16.2310803839786,15.9440177583325,10.6464635989583,"Region_2_019","Region_2","Y5","small","strong","Region_2",15,"Widespread_Species","SIM5",1
16.5431053961176,15.2245859899861,18.7552819078264,16.8929452922652,11.4889203330924,"Region_2_020","Region_2","Plus5","small","weak","Region_2",15,"Widespread_Species","SIM5",1
14.3951820845364,13.3076208089141,15.2277071490025,14.2313628555119,9.32793675629547,"Region_3_001","Region_3","Y5","small","absent","Region_3",30,"Widespread_Species","SIM5",1
15.2144830158377,14.3080424050237,16.3107723380178,15.240443393249,9.7642122942565,"Region_3_002","Region_3","Plus5","large","weak","Region_3",30,"Widespread_Species","SIM5",1
15.2929813163392,13.7339252566229,15.7337308273597,14.3799959586339,10.4788892940738,"Region_3_003","Region_3","Y5","small","absent","Region_3",30,"Widespread_Species","SIM5",1
14.4182591598444,14.0229707791018,15.1195774118784,14.6572283594146,9.46792447645032,"Region_3_004","Region_3","Y5","large","weak","Region_3",30,"Widespread_Species","SIM5",1
14.6255678299021,14.225017612712,16.0047327879327,14.9518492791167,9.98811597621642,"Region_3_005","Region_3","Y4","large","absent","Region_3",30,"Widespread_Species","SIM5",1
14.3535906141669,12.6838875322767,15.2995727681354,14.5948653340615,9.23842305994258,"Region_3_006","Region_3","Y5","small","weak","Region_3",30,"Widespread_Species","SIM5",1
13.3203714054212,13.7964659063593,15.4596956932132,14.7230441896773,9.0690500551294,"Region_3_007","Region_3","Y4","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
14.1446568512786,13.5506938988533,15.6089627727252,13.72999912035,9.81883064493634,"Region_3_008","Region_3","Y4","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
14.4077427156155,13.1985208813906,14.7482707758214,13.2179542226352,9.4641688679255,"Region_3_009","Region_3","Y5","small","weak","Region_3",30,"Widespread_Species","SIM5",1
15.4630819115625,14.8894144815074,16.9868986562817,15.7098800045289,9.77265910292686,"Region_3_010","Region_3","Plus5","medium","strong","Region_3",30,"Widespread_Species","SIM5",1
15.2852902436494,13.8446172941093,15.0269121194135,14.694755574334,9.94201971667997,"Region_3_011","Region_3","Y5","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
14.8947783528917,14.1048770877715,16.1814973750431,14.8967384234601,10.0898189060616,"Region_3_012","Region_3","Y4","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
15.4325226158188,13.4133631880069,15.951855875585,14.5571822493149,10.6384602920998,"Region_3_013","Region_3","Y5","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
16.0715710403949,14.6608257159169,16.8625085799428,15.5184269559756,9.37243400838858,"Region_3_014","Region_3","Plus5","large","absent","Region_3",30,"Widespread_Species","SIM5",1
15.4642341074447,13.829684501588,15.7210903454188,15.5689562244605,10.3541651760098,"Region_3_015","Region_3","Y5","medium","weak","Region_3",30,"Widespread_Species","SIM5",1
15.4936780297007,14.3174670842086,16.651679603233,15.445355995443,9.75838243714284,"Region_3_016","Region_3","Y5","large","weak","Region_3",30,"Widespread_Species","SIM5",1
15.5472574359735,13.9499727788965,16.2736413215247,15.1382080783821,10.2637914234887,"Region_3_017","Region_3","Y5","large","absent","Region_3",30,"Widespread_Species","SIM5",1
15.0005008512637,13.975877041275,17.5660846487682,15.5846955580561,10.2733570299423,"Region_3_018","Region_3","Y5","medium","strong","Region_3",30,"Widespread_Species","SIM5",1
13.4061830160996,12.3658290698045,14.1691134859393,13.4668784434402,9.01061337134122,"Region_3_019","Region_3","Y5","large","weak","Region_3",30,"Widespread_Species","SIM5",1
13.9808209400149,12.849615897258,13.8571925063553,13.5614828791535,8.72935744135132,"Region_3_020","Region_3","Y5","medium","strong","Region_3",30,"Widespread_Species","SIM5",1
